condition,_loop_noises.thisRepN,_loop_noises.thisTrialN,_loop_noises.thisN,_loop_noises.thisIndex,_loop_lists.thisRepN,_loop_lists.thisTrialN,_loop_lists.thisN,_loop_lists.thisIndex,_loop_words.thisRepN,_loop_words.thisTrialN,_loop_words.thisN,_loop_words.thisIndex,__instructions.started,__instructions.stopped,__continue.keys,__continue.rt,__continue.started,__continue.stopped,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,_bye_text.started,_bye_text.stopped,_bye_keyboard.keys,_bye_keyboard.rt,_bye_keyboard.started,_bye_keyboard.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,10.972938980000436,None,space,0.7807190819994503,10.972938980000436,None,,,,,,,,,,,,,,001,2020_Feb_03_2134,ominoise_main,3.2.4,59.79105167978851,
condition_1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,11.818735093999749,None,space,0.2599674560005951,11.818735093999749,None,,,,,,,,001,2020_Feb_03_2134,ominoise_main,3.2.4,59.79105167978851,
condition_1,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,001,2020_Feb_03_2134,ominoise_main,3.2.4,59.79105167978851,
condition_1,0,0,0,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,001,2020_Feb_03_2134,ominoise_main,3.2.4,59.79105167978851,
condition_1,0,0,0,0,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,001,2020_Feb_03_2134,ominoise_main,3.2.4,59.79105167978851,
condition_1,0,0,0,0,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,001,2020_Feb_03_2134,ominoise_main,3.2.4,59.79105167978851,
condition_1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_03_2134,ominoise_main,3.2.4,59.79105167978851,
condition_1,0,0,0,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,001,2020_Feb_03_2134,ominoise_main,3.2.4,59.79105167978851,
condition_1,0,0,0,0,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,001,2020_Feb_03_2134,ominoise_main,3.2.4,59.79105167978851,
condition_1,0,0,0,0,1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,001,2020_Feb_03_2134,ominoise_main,3.2.4,59.79105167978851,
condition_1,0,0,0,0,1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,001,2020_Feb_03_2134,ominoise_main,3.2.4,59.79105167978851,
condition_1,0,0,0,0,1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,001,2020_Feb_03_2134,ominoise_main,3.2.4,59.79105167978851,
condition_1,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_03_2134,ominoise_main,3.2.4,59.79105167978851,
condition_1,0,0,0,0,2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,001,2020_Feb_03_2134,ominoise_main,3.2.4,59.79105167978851,
condition_1,0,0,0,0,2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,001,2020_Feb_03_2134,ominoise_main,3.2.4,59.79105167978851,
condition_1,0,0,0,0,2,0,2,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,001,2020_Feb_03_2134,ominoise_main,3.2.4,59.79105167978851,
condition_1,0,0,0,0,2,0,2,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,001,2020_Feb_03_2134,ominoise_main,3.2.4,59.79105167978851,
condition_1,0,0,0,0,2,0,2,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,001,2020_Feb_03_2134,ominoise_main,3.2.4,59.79105167978851,
condition_1,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_03_2134,ominoise_main,3.2.4,59.79105167978851,
condition_1,0,0,0,0,3,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,001,2020_Feb_03_2134,ominoise_main,3.2.4,59.79105167978851,
condition_1,0,0,0,0,3,0,3,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,001,2020_Feb_03_2134,ominoise_main,3.2.4,59.79105167978851,
condition_1,0,0,0,0,3,0,3,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,001,2020_Feb_03_2134,ominoise_main,3.2.4,59.79105167978851,
condition_1,0,0,0,0,3,0,3,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,001,2020_Feb_03_2134,ominoise_main,3.2.4,59.79105167978851,
condition_1,0,0,0,0,3,0,3,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,001,2020_Feb_03_2134,ominoise_main,3.2.4,59.79105167978851,
condition_1,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_03_2134,ominoise_main,3.2.4,59.79105167978851,
condition_1,0,0,0,0,4,0,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,001,2020_Feb_03_2134,ominoise_main,3.2.4,59.79105167978851,
condition_1,0,0,0,0,4,0,4,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,001,2020_Feb_03_2134,ominoise_main,3.2.4,59.79105167978851,
condition_1,0,0,0,0,4,0,4,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,001,2020_Feb_03_2134,ominoise_main,3.2.4,59.79105167978851,
condition_1,0,0,0,0,4,0,4,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,001,2020_Feb_03_2134,ominoise_main,3.2.4,59.79105167978851,
condition_1,0,0,0,0,4,0,4,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,001,2020_Feb_03_2134,ominoise_main,3.2.4,59.79105167978851,
condition_1,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_03_2134,ominoise_main,3.2.4,59.79105167978851,
condition_1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_03_2134,ominoise_main,3.2.4,59.79105167978851,
condition_3,0,1,1,2,0,0,0,0,0,0,0,0,,,,,,,12.117544794999958,None,space,0.2861508240002877,12.117544794999958,None,,,,,,,,001,2020_Feb_03_2134,ominoise_main,3.2.4,59.79105167978851,
